passo 1	a = 5	+dist = 0.1	+ror = 0.1	AV = 0.1	AV2 = 0.1
passo 2	a = 5	+dist = 0.2	+ror = 0.4	AV = 0.2	AV2 = 0.4
passo 3	a = 3	+dist = 0.223607	+ror = 0.5	AV = 0.223607	AV2 = 0.5
passo 4	a = 3	+dist = 0.282843	+ror = 0.8	AV = 0.282843	AV2 = 0.8
passo 5	a = 1	+dist = 0.3	+ror = 0.9	AV = 0.3	AV2 = 0.9
passo 6	a = 4	+dist = 0.244949	+ror = 0.6	AV = 0.244949	AV2 = 0.6
passo 7	a = 3	+dist = 0.331662	+ror = 1.1	AV = 0.331662	AV2 = 1.1
passo 8	a = 5	+dist = 0.374166	+ror = 1.4	AV = 0.374166	AV2 = 1.4
passo 9	a = 1	+dist = 0.412311	+ror = 1.7	AV = 0.412311	AV2 = 1.7
passo 10	a = 4	+dist = 0.374166	+ror = 1.4	AV = 0.374166	AV2 = 1.4
passo 11	a = 1	+dist = 0.43589	+ror = 1.9	AV = 0.43589	AV2 = 1.9
passo 12	a = 0	+dist = 0.374166	+ror = 1.4	AV = 0.374166	AV2 = 1.4
passo 13	a = 1	+dist = 0.43589	+ror = 1.9	AV = 0.43589	AV2 = 1.9
passo 14	a = 3	+dist = 0.509902	+ror = 2.6	AV = 0.509902	AV2 = 2.6
passo 15	a = 4	+dist = 0.5	+ror = 2.5	AV = 0.5	AV2 = 2.5
passo 16	a = 2	+dist = 0.424264	+ror = 1.8	AV = 0.424264	AV2 = 1.8
passo 17	a = 4	+dist = 0.43589	+ror = 1.9	AV = 0.43589	AV2 = 1.9
passo 18	a = 5	+dist = 0.424264	+ror = 1.8	AV = 0.424264	AV2 = 1.8
passo 19	a = 2	+dist = 0.360555	+ror = 1.3	AV = 0.360555	AV2 = 1.3
passo 20	a = 5	+dist = 0.374166	+ror = 1.4	AV = 0.374166	AV2 = 1.4
passo 21	a = 4	+dist = 0.360555	+ror = 1.3	AV = 0.360555	AV2 = 1.3
passo 22	a = 1	+dist = 0.447214	+ror = 2	AV = 0.447214	AV2 = 2
passo 23	a = 3	+dist = 0.5	+ror = 2.5	AV = 0.5	AV2 = 2.5
passo 24	a = 5	+dist = 0.509902	+ror = 2.6	AV = 0.509902	AV2 = 2.6
passo 25	a = 3	+dist = 0.574456	+ror = 3.3	AV = 0.574456	AV2 = 3.3
passo 26	a = 3	+dist = 0.648074	+ror = 4.2	AV = 0.648074	AV2 = 4.2
passo 27	a = 3	+dist = 0.728011	+ror = 5.3	AV = 0.728011	AV2 = 5.3
passo 28	a = 5	+dist = 0.748331	+ror = 5.6	AV = 0.748331	AV2 = 5.6
passo 29	a = 3	+dist = 0.830662	+ror = 6.9	AV = 0.830662	AV2 = 6.9
passo 30	a = 0	+dist = 0.787401	+ror = 6.2	AV = 0.787401	AV2 = 6.2
passo 31	a = 4	+dist = 0.768115	+ror = 5.9	AV = 0.768115	AV2 = 5.9
passo 32	a = 5	+dist = 0.787401	+ror = 6.2	AV = 0.787401	AV2 = 6.2
passo 33	a = 0	+dist = 0.754983	+ror = 5.7	AV = 0.754983	AV2 = 5.7
passo 34	a = 2	+dist = 0.663325	+ror = 4.4	AV = 0.663325	AV2 = 4.4
passo 35	a = 0	+dist = 0.640312	+ror = 4.1	AV = 0.640312	AV2 = 4.1
passo 36	a = 1	+dist = 0.663325	+ror = 4.4	AV = 0.663325	AV2 = 4.4
passo 37	a = 3	+dist = 0.754983	+ror = 5.7	AV = 0.754983	AV2 = 5.7
passo 38	a = 1	+dist = 0.787401	+ror = 6.2	AV = 0.787401	AV2 = 6.2
passo 39	a = 5	+dist = 0.818535	+ror = 6.7	AV = 0.818535	AV2 = 6.7
passo 40	a = 1	+dist = 0.860233	+ror = 7.4	AV = 0.860233	AV2 = 7.4
passo 41	a = 0	+dist = 0.818535	+ror = 6.7	AV = 0.818535	AV2 = 6.7
passo 42	a = 0	+dist = 0.787401	+ror = 6.2	AV = 0.787401	AV2 = 6.2
passo 43	a = 3	+dist = 0.877496	+ror = 7.7	AV = 0.877496	AV2 = 7.7
passo 44	a = 3	+dist = 0.969536	+ror = 9.4	AV = 0.969536	AV2 = 9.4
passo 45	a = 4	+dist = 0.943398	+ror = 8.9	AV = 0.943398	AV2 = 8.9
passo 46	a = 3	+dist = 1.03923	+ror = 10.8	AV = 1.03923	AV2 = 10.8
passo 47	a = 0	+dist = 1.0247	+ror = 10.5	AV = 1.0247	AV2 = 10.5
passo 48	a = 0	+dist = 1.0198	+ror = 10.4	AV = 1.0198	AV2 = 10.4
passo 49	a = 0	+dist = 1.0247	+ror = 10.5	AV = 1.0247	AV2 = 10.5
passo 50	a = 0	+dist = 1.03923	+ror = 10.8	AV = 1.03923	AV2 = 10.8
passo 51	a = 4	+dist = 1.0247	+ror = 10.5	AV = 1.0247	AV2 = 10.5
passo 52	a = 5	+dist = 1.03923	+ror = 10.8	AV = 1.03923	AV2 = 10.8
passo 53	a = 2	+dist = 0.943398	+ror = 8.9	AV = 0.943398	AV2 = 8.9
passo 54	a = 2	+dist = 0.848528	+ror = 7.2	AV = 0.848528	AV2 = 7.2
passo 55	a = 3	+dist = 0.943398	+ror = 8.9	AV = 0.943398	AV2 = 8.9
passo 56	a = 0	+dist = 0.969536	+ror = 9.4	AV = 0.969536	AV2 = 9.4
passo 57	a = 4	+dist = 0.953939	+ror = 9.1	AV = 0.953939	AV2 = 9.1
passo 58	a = 2	+dist = 0.860233	+ror = 7.4	AV = 0.860233	AV2 = 7.4
passo 59	a = 2	+dist = 0.768115	+ror = 5.9	AV = 0.768115	AV2 = 5.9
passo 60	a = 2	+dist = 0.678233	+ror = 4.6	AV = 0.678233	AV2 = 4.6
passo 61	a = 0	+dist = 0.728011	+ror = 5.3	AV = 0.728011	AV2 = 5.3
passo 62	a = 0	+dist = 0.787401	+ror = 6.2	AV = 0.787401	AV2 = 6.2
passo 63	a = 2	+dist = 0.714143	+ror = 5.1	AV = 0.714143	AV2 = 9.33387e+25
